CDC Approved Site List 10.11.25,,,,,,,,,,,
Region,ICB,CDC ODS site code,Name of CDC,Host Trust ,Updated NHS Trust name,CDC Trust Code, CDC Archetype,Location,Post code for Permanent Approved Site,Lat,Lon
SE,"Buckinghamshire, Oxfordshire & Berkshire West ICB",J9F8D,Oxford CDC,Oxford University Hospitals NHS FT,Oxford University Hospitals NHS Foundation Trust,RTH,Standard,Oxford,OX4 2LL,51.72903,-1.20693
SE,Sussex ICB,L5X6G,Bognor Regis War Memorial Hospital CDC,Sussex Community NHS FT,Sussex Community NHS Foundation Trust,RDR,Spoke,Bognor Regis,PO22 9PP,50.79336,-0.67542
EoE,Herts and West Essex ICB,J0V8Q,QEII Hospital CDC ,East And North Hertfordshire NHS Trust,East and North Hertfordshire Teaching NHS Trust,RWH,Standard,Welwyn Garden City,AL7 4HQ,51.78337,-0.18861
SE,Hampshire & Isle of Wight ICB,I1K6X,Fareham Community Hospital CDC ,Portsmouth Hospitals University NHS Trust (PHUT),Portsmouth Hospitals University NHS Trust,RHU,Spoke,Southampton,SO31 7DQ,50.87153,-1.27362
SE,Hampshire & Isle of Wight ICB,G2E0X,Oak Park CDC,Portsmouth Hospitals University NHS Trust (PHUT),Portsmouth Hospitals University NHS Trust,RHU,Spoke,Havant,PO9 2AW,50.85782,-0.97745
SE,Sussex ICB,M8F9A,Brighton CDC,University Hospitals Sussex NHS Trust  ,University Hospitals Sussex NHS Foundation Trust,RYR,Spoke,Brighton,BN1 9BL ,50.86091,-0.08425
EoE,Cambridgeshire & Peterborough ICB,H3T6S,Wisbech CDC,Cambridgeshire Community Services NHS Trust,Cambridgeshire Community Services NHS Trust,RYV,Spoke,Wisbech,PE13 3AB,52.66501,0.16391
SE,Hampshire & Isle of Wight ICB,D9T0G,Andover CDC,Hampshire Hospitals NHS Foundation Trust,Hampshire Hospitals NHS Foundation Trust,RN5,Large,Andover,SP10 3LB,51.21574,-1.49469
EoE,Suffolk & North East Essex ICB,C6G8Z,Clacton CDC,East Suffolk and North Essex NHS Foundation Trust,East Suffolk and North Essex NHS Foundation Trust,RDE,Large,Clacton-on-Sea,CO15 1LH,51.78608,1.14817
SE,Sussex ICB,U4H2G,Bexhill CDC,East Sussex Healthcare NHS Trust,East Sussex Healthcare NHS Trust,RXC,Standard,Bexhill-on-Sea,TN39 3LJ,50.84197,0.46431
