SICBL 2024 Code,SICBL 2024 Name,ICB 2024 Code,ICB 2024 Name,NHSER 2024 Code,NHSER 2024 Name,Total,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90
E38000006,NHS South Yorkshire ICB - 02P,E54000061,NHS South Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,"251,770","1,246","1,244","1,313","1,373","1,353","1,427","1,384","1,430","1,461","1,437","1,431","1,537","1,526","1,490","1,497","1,418","1,397","1,349","1,313","1,045",987,901,"1,127","1,252","1,270","1,377","1,611","1,676","1,654","1,707","1,840","1,856","1,907","1,938","1,830","1,711","1,902","1,787","1,699","1,733","1,695","1,602","1,487","1,577","1,580","1,515","1,371","1,259","1,343","1,440","1,488","1,627","1,736","1,987","1,819","1,851","1,900","1,867","1,890","1,897","1,819","1,844","1,771","1,616","1,529","1,589","1,528","1,538","1,366","1,288","1,385","1,255","1,231","1,213","1,165","1,264","1,271","1,318","1,075","1,068",928,830,688,667,596,576,535,491,407,334,"1,364","1,236","1,335","1,396","1,327","1,553","1,437","1,454","1,549","1,466","1,494","1,476","1,548","1,523","1,637","1,543","1,513","1,513","1,486","1,407","1,216","1,111","1,113","1,200","1,243","1,243","1,442","1,540","1,596","1,539","1,558","1,612","1,759","1,814","1,850","1,773","1,699","1,793","1,651","1,630","1,660","1,577","1,568","1,614","1,527","1,563","1,420","1,255","1,234","1,373","1,437","1,439","1,587","1,620","1,858","1,747","1,825","1,929","1,911","1,798","1,820","1,763","1,706","1,682","1,602","1,496","1,514","1,431","1,376","1,372","1,242","1,248","1,270","1,158","1,183","1,127","1,144","1,187","1,254",897,872,801,761,592,511,459,396,394,304,250,231,594
E38000007,NHS Mid and South Essex ICB - 99E,E54000026,NHS Mid and South Essex Integrated Care Board,E40000013,East of England,"272,958","1,521","1,564","1,680","1,651","1,770","1,803","1,681","1,700","1,816","1,732","1,728","1,761","1,698","1,685","1,665","1,610","1,696","1,582","1,469","1,058","1,003","1,066","1,311","1,359","1,471","1,587","1,729","1,745","1,797","1,837","2,033","2,006","2,151","2,182","2,210","2,219","2,275","2,094","2,036","2,125","1,981","1,970","1,964","1,864","1,909","1,733","1,638","1,681","1,792","1,691","1,625","1,782","1,681","1,868","1,744","1,805","1,872","1,871","1,780","1,809","1,775","1,727","1,668","1,616","1,480","1,438","1,452","1,317","1,275","1,194","1,294","1,185","1,121","1,164","1,130","1,198","1,339","1,511","1,076",998,956,892,718,643,694,649,608,550,510,423,"1,798","1,520","1,545","1,772","1,770","1,758","1,863","1,826","1,881","1,879","1,829","1,787","1,838","1,876","1,783","1,707","1,805","1,752","1,709","1,665","1,207","1,144","1,125","1,345","1,330","1,534","1,559","1,539","1,529","1,499","1,766","1,757","1,871","1,936","1,966","2,017","1,964","2,057","1,962","1,989","1,896","1,807","1,710","1,687","1,826","1,735","1,654","1,626","1,552","1,570","1,744","1,591","1,676","1,702","1,756","1,729","1,760","1,811","1,751","1,724","1,700","1,690","1,605","1,571","1,537","1,458","1,411","1,328","1,214","1,143","1,157","1,118",977,992,981,"1,012","1,008","1,088","1,230",901,786,765,689,562,450,434,420,430,344,305,274,845
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E40000011,Midlands,"124,937",582,634,585,653,625,673,649,694,699,690,663,693,777,722,717,721,686,639,624,418,340,457,482,562,609,669,690,733,770,817,762,772,869,833,829,816,808,829,757,773,788,734,744,762,730,707,692,692,722,708,745,840,911,942,863,962,966,952,965,"1,018",989,912,935,841,823,838,762,743,700,701,718,668,672,645,690,695,782,746,614,560,529,499,419,374,344,352,308,253,235,204,806,608,597,670,641,704,671,692,755,754,693,755,746,732,768,696,711,729,688,684,568,513,508,543,596,686,692,650,733,736,753,767,736,839,799,861,814,831,777,813,778,739,735,737,724,735,713,691,621,723,744,749,757,806,945,907,903,961,927,920,934,971,952,884,858,803,778,761,760,699,687,677,635,598,629,594,645,680,706,506,525,501,418,324,296,288,254,230,185,150,140,424
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000014,North West,"162,540",951,970,"1,012","1,055","1,117","1,076","1,169","1,172","1,198","1,187","1,134","1,145","1,223","1,264","1,189","1,263","1,262","1,217","1,138",931,857,860,971,977,"1,038","1,077","1,081","1,045","1,091","1,060","1,075","1,146","1,121","1,171","1,110","1,182","1,220","1,208","1,190","1,247","1,152","1,155","1,186","1,159","1,152","1,063",960,868,939,967,942,"1,022","1,031","1,038","1,008","1,032","1,004",946,948,938,917,899,864,828,796,753,705,690,674,696,576,646,602,539,551,603,586,613,440,397,398,353,302,249,264,272,237,167,170,139,624,987,"1,011","1,074","1,030","1,086","1,149","1,086","1,189","1,240","1,209","1,214","1,298","1,302","1,309","1,295","1,288","1,252","1,181","1,252","1,111","1,045","1,131","1,125","1,077","1,130","1,135","1,133","1,106","1,071","1,142","1,100","1,035","1,124","1,174","1,055","1,083","1,107","1,068","1,038","1,145","1,073","1,041","1,098","1,069","1,088","1,058","1,043",992,946,967,955,997,"1,034","1,000","1,002","1,070","1,009",953,933,952,899,897,893,813,782,770,697,687,675,623,589,625,549,536,555,476,553,562,344,361,341,281,257,225,201,193,185,135,116,102,291
E38000015,NHS Lancashire and South Cumbria ICB - 00R,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E40000014,North West,"144,191",647,708,711,677,805,812,768,879,786,856,808,792,857,826,822,809,779,755,769,670,643,511,705,774,785,767,780,906,925,872,968,965,"1,012","1,058","1,002",979,"1,057","1,030","1,002",976,870,861,814,793,887,763,734,702,779,797,829,951,959,"1,017",997,"1,118","1,064","1,055","1,087","1,077","1,109","1,078","1,090",973,889,916,874,813,832,741,736,663,693,681,673,756,768,788,632,567,559,530,439,430,413,377,315,347,288,244,830,726,804,779,736,756,862,821,819,787,846,868,851,864,759,888,889,910,861,848,802,765,689,759,789,821,891,804,944,791,778,828,910,965,"1,020","1,002",989,925,944,939,887,859,882,845,812,908,801,711,775,809,774,777,903,956,"1,007","1,069","1,081","1,048","1,175","1,153","1,051","1,139","1,079","1,101","1,035",994,938,932,827,863,739,708,714,636,637,632,661,712,731,545,483,483,443,338,308,271,286,243,187,185,129,449
E38000016,NHS Greater Manchester ICB - 00T,E54000057,NHS Greater Manchester Integrated Care Board,E40000014,North West,"310,085","1,750","1,756","1,939","1,920","2,110","2,005","2,038","2,093","2,074","2,067","2,159","2,177","2,183","2,251","2,152","2,123","2,053","2,050","1,804","1,601","1,543","1,403","1,632","1,670","1,780","1,901","1,812","2,035","1,931","2,032","2,082","2,111","2,173","2,357","2,344","2,214","2,367","2,341","2,245","2,215","2,123","2,070","2,123","2,104","2,119","1,842","1,816","1,709","1,742","1,795","1,783","1,873","2,014","2,028","1,919","1,896","1,993","2,000","1,989","1,971","1,919","1,744","1,810","1,662","1,636","1,541","1,496","1,526","1,366","1,347","1,360","1,311","1,266","1,249","1,325","1,341","1,388","1,531","1,084","1,056",976,928,836,706,638,632,576,497,412,369,"1,331","1,805","1,968","2,032","2,043","2,088","2,044","2,016","2,154","2,204","2,203","2,223","2,335","2,311","2,241","2,304","2,331","2,235","2,162","2,222","1,908","1,861","1,684","1,898","1,942","1,940","1,996","2,086","2,071","2,002","1,839","1,970","1,929","2,005","2,014","2,104","2,114","2,069","1,956","2,142","2,159","2,028","1,984","1,918","1,979","2,051","1,885","1,808","1,756","1,763","1,809","1,813","1,938","2,009","2,000","1,968","1,998","1,862","1,975","1,951","1,951","1,789","1,712","1,722","1,672","1,605","1,481","1,515","1,382","1,309","1,269","1,281","1,294","1,230","1,140","1,200","1,201","1,221","1,297",925,867,836,754,649,555,474,473,435,336,232,211,701
E38000021,NHS Sussex ICB - 09D,E54000064,NHS Sussex Integrated Care Board,E40000005,South East,"283,870","1,095","1,040","1,118","1,089","1,199","1,119","1,165","1,167","1,262","1,352","1,255","1,262","1,375","1,366","1,499","1,491","1,566","1,541","1,873","3,652","4,412","4,141","2,877","2,502","2,326","2,179","2,223","2,329","2,182","2,128","2,255","2,134","2,256","2,243","2,150","2,066","2,006","1,958","1,966","1,876","1,923","1,900","1,967","2,032","2,024","1,971","1,846","1,924","1,859","1,859","1,882","2,038","2,150","2,029","1,953","2,211","1,947","1,905","1,905","1,807","1,747","1,606","1,557","1,447","1,331","1,265","1,218","1,110","1,098","1,106","1,044",986,999,947,936,"1,013","1,017",994,799,774,736,721,584,514,528,477,444,400,408,301,"1,466","1,054","1,054","1,161","1,130","1,209","1,194","1,277","1,285","1,312","1,348","1,333","1,349","1,373","1,428","1,536","1,455","1,581","1,572","1,849","2,888","3,492","3,286","2,502","2,348","2,223","2,294","2,101","2,091","2,190","2,072","2,191","2,093","2,120","2,158","2,138","1,955","1,995","2,015","1,893","1,841","1,990","1,824","1,840","1,884","1,833","1,897","1,797","1,820","1,724","1,690","2,015","2,116","2,158","2,099","1,918","1,972","2,031","1,989","2,020","2,016","1,796","1,620","1,539","1,426","1,432","1,363","1,169","1,100","1,078","1,070","1,000",919,877,934,805,861,917,956,692,591,599,497,419,368,406,315,271,276,232,189,734
E38000024,NHS Greater Manchester ICB - 00V,E54000057,NHS Greater Manchester Integrated Care Board,E40000014,North West,"198,921","1,065","1,029","1,120","1,141","1,090","1,170","1,201","1,167","1,260","1,218","1,241","1,297","1,302","1,330","1,328","1,242","1,335","1,213","1,070",859,831,787,992,"1,036","1,045","1,176","1,135","1,192","1,179","1,289","1,358","1,403","1,425","1,419","1,440","1,443","1,446","1,569","1,412","1,456","1,378","1,437","1,405","1,355","1,316","1,317","1,174","1,109","1,183","1,197","1,197","1,272","1,341","1,307","1,345","1,334","1,347","1,366","1,345","1,324","1,320","1,297","1,261","1,163","1,132","1,102","1,026",918,938,914,930,939,909,836,882,985,993,"1,102",749,737,778,642,537,500,475,449,407,339,338,275,"1,082","1,018","1,133","1,113","1,154","1,271","1,267","1,221","1,233","1,349","1,300","1,319","1,345","1,440","1,427","1,367","1,392","1,372","1,298","1,353","1,135",990,"1,008","1,100","1,100","1,143","1,206","1,223","1,192","1,157","1,201","1,261","1,398","1,354","1,373","1,367","1,375","1,413","1,397","1,373","1,359","1,339","1,218","1,395","1,324","1,274","1,227","1,103","1,073","1,141","1,207","1,185","1,240","1,269","1,339","1,196","1,308","1,205","1,299","1,313","1,301","1,332","1,263","1,232","1,107","1,101","1,076","1,031",969,905,841,816,829,802,840,811,855,823,933,675,586,585,486,435,335,389,357,274,246,184,150,485
E38000025,NHS West Yorkshire ICB - 02T,E54000054,NHS West Yorkshire Integrated Care Board,E40000012,North East and Yorkshire,"210,929",963,"1,021","1,070","1,022","1,141","1,103","1,232","1,262","1,269","1,279","1,204","1,358","1,373","1,308","1,372","1,399","1,319","1,287","1,252",912,785,785,969,"1,010","1,156","1,108","1,209","1,259","1,214","1,291","1,326","1,370","1,462","1,419","1,475","1,462","1,457","1,501","1,380","1,494","1,414","1,380","1,399","1,383","1,444","1,361","1,191","1,220","1,278","1,312","1,471","1,495","1,472","1,604","1,634","1,513","1,595","1,622","1,521","1,468","1,555","1,480","1,455","1,379","1,316","1,284","1,267","1,236","1,185","1,099","1,055","1,013",998,"1,054","1,032","1,063","1,063","1,163",846,813,757,692,601,486,478,456,450,377,329,268,"1,196","1,014","1,064","1,134","1,182","1,248","1,182","1,285","1,262","1,280","1,381","1,348","1,424","1,376","1,419","1,387","1,386","1,411","1,365","1,289","1,167","1,049",944,"1,059","1,164","1,220","1,225","1,280","1,231","1,184","1,199","1,356","1,291","1,282","1,256","1,310","1,269","1,345","1,268","1,275","1,357","1,271","1,288","1,258","1,320","1,364","1,350","1,251","1,185","1,238","1,173","1,255","1,469","1,534","1,556","1,474","1,530","1,509","1,439","1,554","1,503","1,468","1,386","1,360","1,305","1,191","1,223","1,182","1,166","1,100",960,"1,033",966,926,937,934,932,982,"1,022",703,677,667,568,476,416,384,321,325,252,211,162,504
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E40000011,Midlands,"141,606",622,647,703,768,751,761,818,744,751,797,790,880,800,820,762,770,782,799,742,539,489,533,582,707,784,850,892,"1,003",945,914,"1,028","1,036","1,101","1,058",979,"1,046","1,016",961,961,915,939,884,923,919,837,816,690,684,738,774,904,962,997,"1,033","1,082","1,071","1,100",992,"1,056","1,057","1,037","1,031","1,050",968,809,854,804,785,789,747,735,743,680,691,765,674,791,818,626,608,594,556,507,393,354,415,327,287,246,185,777,603,726,753,757,792,796,829,807,835,762,818,865,839,838,819,783,823,777,793,616,688,631,676,683,788,852,830,899,909,870,926,943,996,"1,036",997,973,"1,011",941,933,912,918,856,823,868,828,845,683,700,744,762,811,966,"1,020",967,"1,073","1,105","1,091","1,049","1,052","1,024","1,088","1,010",966,926,831,914,816,738,727,660,759,654,609,620,646,649,676,709,526,574,484,444,367,309,315,254,192,190,182,125,386
