Organisation Code,Name,National Grouping,High Level Health Geography,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Open Date,Close Date,Column 13,Column 14,Column 15,Column 16,Column 17,Contact Telephone Number,Column 19,Column 20,Column 21,Amended Record Indicator,Column 23,GOR Code,Column 25,Column 26,Column 27,Lat,Long
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,Y56,QMJ,"4TH FLOOR, EAST WING",ST. PANCRAS HOSPITAL,4 ST. PANCRAS WAY,LONDON,,NW1 0PE,20241101,,,,,,,,,,,1,,H,,,,51.53665,-0.13166
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,QOP,COBBETT HOUSE,OXFORD ROAD,,MANCHESTER,,M13 9WL,20171001,,,,,,,0300 3309444,,,,1,,B,,,,53.46244,-2.22771
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,QHM,SUNDERLAND ROYAL HOSPITAL,KAYLL ROAD,,SUNDERLAND,,SR4 7TP,20190401,,,,,,,,,,,1,,A,,,,54.902,-1.41
R0C,PROJECT NIGHTINGALE NHS TRUST,Y56,QMF,ROYAL VICTORIA DOCK,1 WESTERN GATEWAY,,LONDON,,E16 1XL,20200301,20200326,,,,,,,,,,1,,H,,,,51.50816,0.02865
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,QVV,MANAGEMENT OFFICES,POOLE HOSPITAL,LONGFLEET ROAD,POOLE,,BH15 2JB,20201001,,,,,,,,,,,1,,K,,,,50.72198,-1.97311
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,QGH,UNIT 2 KINGS COURT,CHARLES HASTINGS WAY,,WORCESTER,,WR5 1JR,20110701,,,,,,,,,,,1,,F,,,,52.19234,-2.17814
R1C,SOLENT NHS TRUST,Y59,QRL,SOLENT NHS TRUST HEADQUARTERS,HIGHPOINT VENUE,BURSLEDON ROAD,SOUTHAMPTON,,SO19 8BR,20110401,20240930,,,,,,,,,,1,,J,,,,50.90174,-1.33086
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,QOC,MOUNT MCKINLEY,ANCHORAGE AVENUE,SHREWSBURY BUSINESS PARK,SHREWSBURY,,SY2 6FG,20110701,,,,,,,01743 277500,,,,1,,F,,,,52.691,-2.719
R1E,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,Y60,QNC,"2ND FLOOR, MORSTON HOUSE",,,NEWCASTLE-UNDER-LYME,,ST5 1QG,20110901,20180531,,,,,,,,,,1,,F,,,,53.01015,-2.22759
R1F,ISLE OF WIGHT NHS TRUST,Y59,QRL,ST MARYS HOSPITAL,PARKHURST ROAD,,NEWPORT,,PO30 5TG,20120401,,,,,,,,,,,1,,J,,,,50.71084,-1.30133
