Organisation Code,Name,National Grouping,Column 4,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Open Date,Close Date,Column 13,Organisation Sub-Type Code,Column 15,Column 16,Column 17,Contact Telephone Number,Column 19,Column 20,Column 21,Amended Record Indicator,Column 23,Column 24,Column 25,Column 26,Column 27,Lat,Lon
A,NORTH EAST GOVERNMENT OFFICE REGION,,,CITY GATE,GALLOWGATE,,NEWCASTLE UPON TYNE,,NE1 4PA,19940401,,,,,,,,,,,1,,,,,,54.97315,-1.6208
B,NORTH WEST GOVERNMENT OFFICE REGION,,,CITY TOWER,,,MANCHESTER,,M1 4BE,19980801,,,,,,,,,,,1,,,,,,53.48044,-2.23899
D,YORKSHIRE & THE HUMBER GOVERNMENT OFFICE REGION,,,PO BOX 213,CITY HOUSE,NEW STATION STREET,LEEDS,,LS1 4JB,19940401,,,,,,,,,,,1,,,,,,53.79485,-1.54662
E,EAST MIDLANDS GOVERNMENT OFFICE REGION,,,THE BELGRAVE CENTRE,STANLEY PLACE,TALBOT STREET,NOTTINGHAM,,NG1 5GG,19940401,,,,,,,,,,,1,,,,,,52.95612,-1.15488
F,WEST MIDLANDS GOVERNMENT OFFICE REGION,,,77 PARADISE CIRCUS,QUEENSWAY,,BIRMINGHAM,,B1 2DT,19940401,,,,,,,,,,,1,,,,,,52.48055,-1.90677
G,EAST OF ENGLAND GOVERNMENT OFFICE REGION,,,BUILDING 1,WESTBROOK,MILTON ROAD,CAMBRIDGE,,CB4 1YG,19940401,,,,,,,,,,,1,,,,,,52.21595,0.1234
H,LONDON GOVERNMENT OFFICE REGION,,,RIVERWALK HOUSE,157 - 161 MILLBANK,,LONDON,,SW1P 4RR,19940401,,,,,,,,,,,1,,,,,,51.48872,-0.12868
J,SOUTH EAST GOVERNMENT OFFICE REGION,,,BRIDGE HOUSE,1 WALNUT TREE CLOSE,,GUILDFORD,,GU1 4GA,19940401,,,,,,,,,,,1,,,,,,51.23657,-0.57913
K,SOUTH WEST GOVERNMENT OFFICE REGION,,,4TH & 5TH FLOORS,THE PITHAY,,BRISTOL,,BS1 2ND,19940401,,,,,,,,,,,1,,,,,,51.45599,-2.59267
W,WALES GOVERNMENT OFFICE REGION,,,BRUNEL HOUSE,2 FITZALAN ROAD,,CARDIFF,,CF24 0EB,19940401,,,,,,,,,,,1,,,,,,51.4824,-3.16962
W00,DIGITAL HEALTH AND CARE WALES,,,TY GLAN-YR-AFON,21 COWBRIDGE ROAD EAST,,CARDIFF,,CF11 9AD,19960401,,,,,,,,,,,1,,,,,,51.48122,-3.18851
W01,WELSH GOVERNMENT,,,CROWN BUILDING,CATHAYS PARK,,CARDIFF,,CF10 3NQ,20030401,,,,,,,,,,,1,,,,,,51.48837,-3.18267
Y51,THE NORTH MIDLANDS AND EAST PROGRAMME FOR IT (NMEPFIT),,,PRINCES EXCHANGE,2 PRINCES SQUARE,,LEEDS,,LS1 4HY,20070401,20130331,,,,,,,,,,1,,,,,,53.79551,-1.55003
Y52,THE SOUTHERN PROGRAMME FOR IT (SPFIT),,,2ND FLOOR,OBSERVATORY HOUSE,WINDSOR ROAD,SLOUGH,,SL1 2EY,20070401,20130331,,,,,,,,,,1,,,,,,51.50778,-0.59577
Y53,THE LONDON PROGRAMME FOR IT (LPFIT),,,SOUTHSIDE,105 VICTORIA STREET,,LONDON,,SW1E 6QT,20070401,20130331,,,,,,,,,,1,,,,,,51.49702,-0.13691
Y54,NORTH OF ENGLAND COMMISSIONING REGION,,,C/O NHS ENGLAND,"1W09, 1ST FLOOR, QUARRY HOUSE",QUARRY HILL,LEEDS,,LS2 7UE,20121001,20190331,,,,,,,,,,1,,,,,,53.79823,-1.53125
Y55,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,,,2-4 VICTORIA HOUSE,CAPITAL PARK,FULBOURN,CAMBRIDGE,,CB21 5XB,20121001,20190331,,,,,,,,,,1,,,,,,52.18485,0.19233
Y56,LONDON COMMISSIONING REGION,,,C/O NHS ENGLAND,"1W09, 1ST FLOOR, QUARRY HOUSE",QUARRY HILL,LEEDS,,LS2 7UE,20121001,,,,,,,,,,,1,,,,,,53.79823,-1.53125
