Trust name,ICS,Region
Airedale NHS Foundation Trust,West Yorkshire,North East and Yorkshire
Alder Hey Children’s NHS Foundation Trust,Cheshire and Merseyside​,North West
Ashford and St Peter’s Hospitals NHS Foundation Trust,Surrey Heartlands​,South East
Avon and Wiltshire Mental Health Partnership NHS Trust,"Bristol, North Somerset and South Gloucestershire​",South West
"Barking, Havering and Redbridge University Hospitals NHS Trust",North East London,London
Barnsley Hospital NHS Foundation Trust,South Yorkshire,North East and Yorkshire
Barts Health NHS Trust,North East London,London
Bedfordshire Hospitals NHS Foundation Trust,"Bedfordshire, Luton and Milton Keynes​",East of England
Berkshire Healthcare NHS Foundation Trust,"Buckinghamshire, Oxfordshire and Berkshire West",South East
Birmingham and Solihull Mental Health NHS Foundation Trust,Birmingham and Solihull​,Midlands
Birmingham Community Healthcare NHS Foundation Trust,Birmingham and Solihull​,Midlands
Birmingham Women’s and Children’s NHS Foundation Trust,Birmingham and Solihull​,Midlands
Black Country Healthcare NHS Foundation Trust,Black Country,Midlands
Blackpool Teaching Hospitals NHS Foundation Trust,Lancashire and South Cumbria​,North West
Bolton NHS Foundation Trust,Greater Manchester ​,North West
Bradford District Care NHS Foundation Trust,West Yorkshire,North East and Yorkshire
Bradford Teaching Hospitals NHS Foundation Trust,West Yorkshire,North East and Yorkshire
Bridgewater Community Healthcare NHS Foundation Trust,Cheshire and Merseyside​,North West
Buckinghamshire Healthcare NHS Trust,"Buckinghamshire, Oxfordshire and Berkshire West",South East
Calderdale and Huddersfield NHS Foundation Trust,West Yorkshire,North East and Yorkshire
Cambridge University Hospitals NHS Foundation Trust,Cambridgeshire and Peterborough​,East of England
Cambridgeshire and Peterborough NHS Foundation Trust,Cambridgeshire and Peterborough​,East of England
Cambridgeshire Community Services NHS Trust,Cambridgeshire and Peterborough​,East of England
Central and North West London NHS Foundation Trust,North West London​,London
Central London Community Healthcare NHS Trust,North West London​,London
Chelsea and Westminster Hospital NHS Foundation Trust,North West London​,London
Cheshire and Wirral Partnership NHS Foundation Trust,Cheshire and Merseyside​,North West
Chesterfield Royal Hospital NHS Foundation Trust,Derby and Derbyshire​,Midlands
The Clatterbridge Cancer Centre NHS Foundation Trust,Cheshire and Merseyside​,North West
Cornwall Partnership NHS Foundation Trust,Cornwall and the Isles of Scilly​,South West
Countess of Chester Hospital NHS Foundation Trust,Cheshire and Merseyside​,North West
County Durham and Darlington NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
Coventry and Warwickshire Partnership NHS Trust,Coventry and Warwickshire​,Midlands
Croydon Health Services NHS Trust,South West London,London
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",North East and North Cumbria​,North East and Yorkshire
Dartford and Gravesham NHS Trust,Kent and Medway,South East
Derbyshire Community Health Services NHS Foundation Trust,Derby and Derbyshire​,Midlands
Derbyshire Healthcare NHS Foundation Trust,Derby and Derbyshire​,Midlands
Devon Partnership NHS Trust,Devon​,South West
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,South Yorkshire,North East and Yorkshire
Dorset County Hospital NHS Foundation Trust,Dorset​,South West
Dorset Healthcare University NHS Foundation Trust,Dorset​,South West
East and North Hertfordshire Teaching NHS Trust,Hertfordshire and West Essex​,East of England
East Cheshire NHS Trust,Cheshire and Merseyside​,North West
East Kent Hospitals University NHS Foundation Trust,Kent and Medway,South East
East Lancashire Hospitals NHS Trust,Lancashire and South Cumbria​,North West
East London NHS Foundation Trust,North East London,London
East Midlands Ambulance Service NHS Trust,Derby and Derbyshire​,Midlands
East of England Ambulance Service NHS Trust,Suffolk and North East Essex​,East of England
East Suffolk and North Essex NHS Foundation Trust,Suffolk and North East Essex​,East of England
East Sussex Healthcare NHS Trust,Sussex,South East
Epsom and St Helier University Hospitals NHS Trust,South West London,London
Essex Partnership University NHS Foundation Trust,Mid and South Essex​,East of England
Frimley Health NHS Foundation Trust,Frimley,South East
Gateshead Health NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
George Eliot Hospital NHS Trust,Coventry and Warwickshire​,Midlands
Gloucestershire Health and Care NHS Foundation Trust,Gloucestershire​,South West
Gloucestershire Hospitals NHS Foundation Trust,Gloucestershire​,South West
Great Ormond Street Hospital For Children NHS Foundation Trust,North Central London​,London
Great Western Hospitals NHS Foundation Trust,"Bath and North East Somerset, Swindon and Wiltshire​",South West
Greater Manchester Mental Health NHS Foundation Trust,Greater Manchester ​,North West
Guy’s and St Thomas’ NHS Foundation Trust,South East London,London
Hampshire and Isle of Wight Healthcare NHS Foundation Trust,Hampshire and the Isle of Wight​,South East
Hampshire Hospitals NHS Foundation Trust,Hampshire and the Isle of Wight​,South East
Harrogate and District NHS Foundation Trust,Humber and North Yorkshire,North East and Yorkshire
Herefordshire and Worcestershire Health and Care NHS Trust,Herefordshire and Worcestershire​,Midlands
Hertfordshire Community NHS Trust,Hertfordshire and West Essex​,East of England
Hertfordshire Partnership University NHS Foundation Trust,Hertfordshire and West Essex​,East of England
Homerton Healthcare NHS Foundation Trust,North East London,London
Hull University Teaching Hospitals NHS Trust,Humber and North Yorkshire,North East and Yorkshire
Humber Teaching NHS Foundation Trust,Humber and North Yorkshire,North East and Yorkshire
Imperial College Healthcare NHS Trust,North West London​,London
Isle of Wight NHS Trust,Hampshire and the Isle of Wight​,South East
James Paget University Hospitals NHS Foundation Trust,Norfolk and Waveney​,East of England
Kent and Medway NHS and Social Care Partnership Trust,Kent and Medway,South East
Kent Community Health NHS Foundation Trust,Kent and Medway,South East
Kettering General Hospital NHS Foundation Trust,Northamptonshire​,Midlands
King’s College Hospital NHS Foundation Trust,South East London,London
Kingston and Richmond NHS Foundation Trust,South West London,London
Lancashire and South Cumbria NHS Foundation Trust,Lancashire and South Cumbria​,North West
Lancashire Teaching Hospitals NHS Foundation Trust,Lancashire and South Cumbria​,North West
Leeds and York Partnership NHS Foundation Trust,West Yorkshire,North East and Yorkshire
Leeds Community Healthcare NHS Trust,West Yorkshire,North East and Yorkshire
Leeds Teaching Hospitals NHS Trust,West Yorkshire,North East and Yorkshire
Leicestershire Partnership NHS Trust,"Leicester, Leicestershire and Rutland​",Midlands
Lewisham and Greenwich NHS Trust,South East London,London
Lincolnshire Community Health Services NHS Trust,Lincolnshire​,Midlands
Lincolnshire Partnership NHS Foundation Trust,Lincolnshire​,Midlands
Liverpool Heart and Chest Hospital NHS Foundation Trust,Cheshire and Merseyside​,North West
Liverpool University Hospitals NHS Foundation Trust,Cheshire and Merseyside​,North West
Liverpool Women’s NHS Foundation Trust,Cheshire and Merseyside​,North West
London Ambulance Service NHS Trust,North West London​,London
London North West University Healthcare NHS Trust,North West London​,London
Maidstone and Tunbridge Wells NHS Trust,Kent and Medway,South East
Manchester University NHS Foundation Trust,Greater Manchester ​,North West
Medway NHS Foundation Trust,Kent and Medway,South East
Mersey and West Lancashire Teaching Hospitals NHS Trust,Cheshire and Merseyside​,North West
Mersey Care NHS Foundation Trust,Cheshire and Merseyside​,North West
Mid and South Essex NHS Foundation Trust,Mid and South Essex​,East of England
Mid Cheshire Hospitals NHS Foundation Trust,Cheshire and Merseyside​,North West
Midlands Partnership University NHS Foundation Trust,Staffordshire and Stoke on Trent​,Midlands
Milton Keynes University Hospital NHS Foundation Trust,"Bedfordshire, Luton and Milton Keynes​",East of England
Moorfields Eye Hospital NHS Foundation Trust,North Central London​,London
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Waveney​,East of England
Norfolk and Suffolk NHS Foundation Trust,Norfolk and Waveney​,East of England
Norfolk Community Health and Care NHS Trust,Norfolk and Waveney​,East of England
North Bristol NHS Trust,"Bristol, North Somerset and South Gloucestershire​",South West
North Cumbria Integrated Care NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
North East Ambulance Service NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
North East London NHS Foundation Trust,North East London,London
North London NHS Foundation Trust,North Central London​,London
North Staffordshire Combined Healthcare NHS Trust,Staffordshire and Stoke on Trent​,Midlands
North Tees and Hartlepool NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
North West Ambulance Service NHS Trust,Lancashire and South Cumbria​,North West
North West Anglia NHS Foundation Trust,Cambridgeshire and Peterborough​,East of England
Northampton General Hospital NHS Trust,Northamptonshire​,Midlands
Northamptonshire Healthcare NHS Foundation Trust,Northamptonshire​,Midlands
Northern Care Alliance NHS Foundation Trust,Greater Manchester ​,North West
Northern Lincolnshire and Goole NHS Foundation Trust,Humber and North Yorkshire,North East and Yorkshire
Northumbria Healthcare NHS Foundation Trust,North East and North Cumbria​,North East and Yorkshire
Nottingham University Hospitals NHS Trust,Nottingham and Nottinghamshire​,Midlands
Nottinghamshire Healthcare NHS Foundation Trust,Nottingham and Nottinghamshire​,Midlands
Oxford Health NHS Foundation Trust,"Buckinghamshire, Oxfordshire and Berkshire West",South East
Oxford University Hospitals NHS Foundation Trust,"Buckinghamshire, Oxfordshire and Berkshire West",South East
Oxleas NHS Foundation Trust,South East London,London
Pennine Care NHS Foundation Trust,Greater Manchester ​,North West
Portsmouth Hospitals University NHS Trust,Hampshire and the Isle of Wight​,South East
The Princess Alexandra Hospital NHS Trust,Hertfordshire and West Essex​,East of England
"The Queen Elizabeth Hospital, King’s Lynn, NHS Foundation Trust",Norfolk and Waveney​,East of England
Queen Victoria Hospital NHS Foundation Trust,Sussex,South East
Rotherham Doncaster and South Humber NHS Foundation Trust,South Yorkshire,North East and Yorkshire
