trust_code,trust_name,national_grouping,high_level_health_geography,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,postcode,open_date,close_date,lat,long,dexa_count_2223,dexa_count_2324,dexa_count_2425
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,Y56,QMJ,"4TH FLOOR, EAST WING",ST. PANCRAS HOSPITAL,4 ST. PANCRAS WAY,LONDON,,NW1 0PE,20241101,,51.53665,-0.13166,0.0,0.0,0.0
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,QOP,COBBETT HOUSE,OXFORD ROAD,,MANCHESTER,,M13 9WL,20171001,,53.46244,-2.22771,3.0,4.0,5.0
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Y63,QHM,SUNDERLAND ROYAL HOSPITAL,KAYLL ROAD,,SUNDERLAND,,SR4 7TP,20190401,,54.902,-1.41,1.0,2.0,2.0
R0C,PROJECT NIGHTINGALE NHS TRUST,Y56,QMF,ROYAL VICTORIA DOCK,1 WESTERN GATEWAY,,LONDON,,E16 1XL,20200301,20200326.0,51.50816,0.02865,0.0,0.0,0.0
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Y58,QVV,MANAGEMENT OFFICES,POOLE HOSPITAL,LONGFLEET ROAD,POOLE,,BH15 2JB,20201001,,50.72198,-1.97311,1.0,2.0,2.0
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Y60,QGH,UNIT 2 KINGS COURT,CHARLES HASTINGS WAY,,WORCESTER,,WR5 1JR,20110701,,52.19234,-2.17814,0.0,0.0,0.0
R1C,SOLENT NHS TRUST,Y59,QRL,SOLENT NHS TRUST HEADQUARTERS,HIGHPOINT VENUE,BURSLEDON ROAD,SOUTHAMPTON,,SO19 8BR,20110401,20240930.0,50.90174,-1.33086,0.0,0.0,0.0
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,Y60,QOC,MOUNT MCKINLEY,ANCHORAGE AVENUE,SHREWSBURY BUSINESS PARK,SHREWSBURY,,SY2 6FG,20110701,,52.691,-2.719,0.0,0.0,0.0
R1E,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,Y60,QNC,"2ND FLOOR, MORSTON HOUSE",,,NEWCASTLE-UNDER-LYME,,ST5 1QG,20110901,20180531.0,53.01015,-2.22759,0.0,0.0,0.0
R1F,ISLE OF WIGHT NHS TRUST,Y59,QRL,ST MARYS HOSPITAL,PARKHURST ROAD,,NEWPORT,,PO30 5TG,20120401,,50.71084,-1.30133,0.0,0.0,1.0
R1G,TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST,Y58,QJK,"BAY HOUSE, UNIT 2",RIVIERA PARK,NICHOLSON ROAD,TORQUAY,,TQ2 7TD,20120401,20150930.0,50.48775,-3.55274,0.0,0.0,0.0
R1H,BARTS HEALTH NHS TRUST,Y56,QMF,THE ROYAL LONDON HOSPITAL,80 NEWARK STREET,,LONDON,,E1 2ES,20120401,,51.51717,-0.05612,2.0,1.0,1.0
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,Y58,QR1,EDWARD JENNER COURT,1010 PIONEER AVENUE,"GLOUCESTER BUSINESS PK, BROCKWORTH",GLOUCESTER,,GL3 4AW,20130322,20190930.0,51.844,-2.177,0.0,0.0,0.0
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Y56,QRV,NORTHWICK PARK HOSPITAL,WATFORD ROAD,,HARROW,,HA1 3UJ,20141001,,51.57541,-0.32204,0.0,1.0,2.0
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,QH8,THE LODGE,LODGE APPROACH,RUNWELL,WICKFORD,,SS11 7XX,20170401,,51.63503,0.54502,0.0,0.0,0.0
RA2,ROYAL SURREY NHS FOUNDATION TRUST,Y59,QXU,EGERTON ROAD,,,GUILDFORD,,GU2 7XX,19910401,,51.24102,-0.60746,0.0,0.0,0.0
RA3,WESTON AREA HEALTH NHS TRUST,Y58,QUY,WESTON GENERAL HOSPITAL,GRANGE ROAD,UPHILL,WESTON-SUPER-MARE,,BS23 4TQ,19910401,20200331.0,51.32233,-2.97141,0.0,0.0,0.0
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Y58,QSL,YEOVIL DISTRICT HOSPITAL,HIGHER KINGSTON,,YEOVIL,,BA21 4AT,19910401,20230331.0,50.94484,-2.63471,1.0,0.0,0.0
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Y58,QUY,TRUST HEADQUARTERS,MARLBOROUGH STREET,,BRISTOL,,BS1 3NU,19910401,,51.45948,-2.59302,2.0,2.0,2.0
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,QJK,TORBAY HOSPITAL,NEWTON ROAD,,TORQUAY,,TQ2 7AA,19910401,,50.48232,-3.55379,0.0,0.0,1.0
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,QWO,BRADFORD ROYAL INFIRMARY,DUCKWORTH LANE,,BRADFORD,,BD9 6RJ,19910401,,53.806,-1.7947,1.0,1.0,1.0
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,QH8,PRITTLEWELL CHASE,,,WESTCLIFF-ON-SEA,,SS0 0RY,19910401,,51.55383,0.68862,1.0,1.0,1.0
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,QMJ,ROYAL FREE HOSPITAL,POND STREET,,LONDON,,NW3 2QG,19910401,,51.55322,-0.16532,2.0,2.0,2.0
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Y56,QRV,BROCKLEY HILL,,,STANMORE,,HA7 4LP,19910401,,51.63257,-0.31044,1.0,1.0,1.0
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Y56,QMJ,NORTH MIDDLESEX HOSPITAL,STERLING WAY,,LONDON,,N18 1QX,19910401,20241231.0,51.61309,-0.07375,0.0,0.0,0.0
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Y56,QRV,PIELD HEATH ROAD,,,UXBRIDGE,,UB8 3NN,19910401,,51.52608,-0.46118,0.0,0.0,0.0
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,Y56,QMF,WEST WING,C E M E CENTRE,MARSH WAY,RAINHAM,,RM13 8GQ,20010401,,51.51862,0.17109,0.0,0.0,0.0
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,Y56,QWE,GALSWORTHY ROAD,,,KINGSTON UPON THAMES,,KT2 7QB,19910401,,51.415,-0.283,1.0,1.0,1.0
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,Y58,QSL,MUSGROVE PARK HOSPITAL,,,TAUNTON,,TA1 5DA,19910401,20200331.0,51.012,-3.122,0.0,0.0,0.0
RBB,ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,Y58,QOX,UPPER BOROUGH WALLS,,,BATH,,BA1 1RL,19910401,20150131.0,51.38226,-2.36144,0.0,0.0,0.0
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Y58,QVV,DORSET COUNTY HOSPITAL,WILLIAMS AVENUE,,DORCHESTER,,DT1 2JY,19910401,,50.71294,-2.44694,1.0,1.0,1.0
RBF,NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,Y59,QU9,WINDMILL ROAD,HEADINGTON,,OXFORD,,OX3 7LD,19910401,20111101.0,51.754,-1.209,0.0,0.0,0.0
RBK,WALSALL HEALTHCARE NHS TRUST,Y60,QUA,MANOR HOSPITAL,MOAT ROAD,,WALSALL,,WS2 9PS,19910401,,52.58233,-1.99892,0.0,0.0,0.0
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,Y62,QYG,ARROWE PARK HOSPITAL,ARROWE PARK ROAD,UPTON,WIRRAL,,CH49 5PE,19910401,,53.36964,-3.09682,1.0,1.0,1.0
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,Y62,QYG,WHISTON HOSPITAL,WARRINGTON ROAD,,PRESCOT,,L35 5DR,19910401,,53.42047,-2.78495,1.0,1.0,2.0
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,Y62,QYG,THOMAS DRIVE,,,LIVERPOOL,,L14 3PE,19910401,,53.41115,-2.89799,0.0,0.0,0.0
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Y62,QYG,ALDER HEY HOSPITAL,EATON ROAD,WEST DERBY,LIVERPOOL,,L12 2AP,19910401,,53.42024,-2.89872,0.0,0.0,1.0
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,Y62,QYG,LEIGHTON HOSPITAL,LEIGHTON,,CREWE,,CW1 4QJ,19910401,,53.11768,-2.47586,1.0,1.0,1.0
RBV,THE CHRISTIE NHS FOUNDATION TRUST,Y62,QOP,550 WILMSLOW ROAD,WITHINGTON,,MANCHESTER,,M20 4BX,19910401,,53.42975,-2.23005,1.0,1.0,1.0
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,Y58,QJK,NORTH DEVON DISTRICT HOSPITAL,RALEIGH PARK,,BARNSTAPLE,,EX31 4JB,19910401,20220331.0,51.0922,-4.05043,0.0,0.0,0.0
RC1,BEDFORD HOSPITAL NHS TRUST,Y61,QHG,SOUTH WING,KEMPSTON ROAD,,BEDFORD,,MK42 9DJ,19920401,20200331.0,52.12827,-0.4725,0.0,0.0,0.0
RC3,EALING HOSPITAL NHS TRUST,Y56,QRV,UXBRIDGE ROAD,,,SOUTHALL,,UB1 3HW,19920401,20140930.0,51.50761,-0.3455,0.0,0.0,0.0
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,QHG,LEWSEY ROAD,,,LUTON,,LU4 0DZ,19920401,,51.894,-0.474,2.0,2.0,2.0
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,Y63,QOQ,YORK HOSPITAL,WIGGINTON ROAD,,YORK,,YO31 8HE,19920401,,53.96895,-1.08429,1.0,1.0,2.0
